cells,cells_outside_expected_support,component_count,component_elongation_median,component_perimeter_sqrt_area_median,component_size_max,component_size_median,component_size_p90,edge_component_count,family,group,map_id,pct_map,quantity_1,quantity_10,quantity_11,quantity_12,quantity_13,quantity_14,quantity_15,quantity_2,quantity_3,quantity_4,quantity_5,quantity_6,quantity_7,quantity_8,quantity_9,quantity_counts,quantity_max,quantity_mean,quantity_median,quantity_min,stock,terrain_counts
3090,0,160,1.7320508075688772,8.082903768654761,123,6.0,53.0,0,sulfur,2p,sav_003,0.523885,220,224,222,184,188,208,201,192,215,204,207,217,193,229,186,"{""1"": 220, ""10"": 224, ""11"": 222, ""12"": 184, ""13"": 188, ""14"": 208, ""15"": 201, ""2"": 192, ""3"": 215, ""4"": 204, ""5"": 207, ""6"": 217, ""7"": 193, ""8"": 229, ""9"": 186}",15,7.935275080906149,8.0,1,24520,"{""128"": 330, ""129"": 59, ""32"": 2318, ""33"": 283, ""35"": 100}"
37897,0,516,1.794964424886369,8.024922359499621,2605,3.0,143.5,0,minerals,2p,sav_003,6.425137,2564,2542,2575,2414,2496,2519,2508,2511,2565,2521,2551,2568,2534,2520,2509,"{""1"": 2564, ""10"": 2542, ""11"": 2575, ""12"": 2414, ""13"": 2496, ""14"": 2519, ""15"": 2508, ""2"": 2511, ""3"": 2565, ""4"": 2521, ""5"": 2551, ""6"": 2568, ""7"": 2534, ""8"": 2520, ""9"": 2509}",15,7.970393434836531,8.0,1,302054,"{""128"": 4761, ""129"": 996, ""32"": 27281, ""33"": 3534, ""34"": 10, ""35"": 1315}"
47620,0,9077,1.7320508075688776,7.071067811865475,151,2.0,13.0,13,fish,2p,sav_003,8.073595,3729,3176,3133,3206,3122,3090,3052,3162,3107,3194,3161,3079,3153,3145,3111,"{""1"": 3729, ""10"": 3176, ""11"": 3133, ""12"": 3206, ""13"": 3122, ""14"": 3090, ""15"": 3052, ""2"": 3162, ""3"": 3107, ""4"": 3194, ""5"": 3161, ""6"": 3079, ""7"": 3153, ""8"": 3145, ""9"": 3111}",15,7.895422091558169,8.0,1,375980,"{""0"": 3969, ""1"": 3663, ""2"": 3372, ""3"": 2994, ""4"": 2787, ""5"": 2465, ""6"": 2279, ""7"": 26091}"
0,0,0,0.0,0.0,0,0.0,0.0,0,unknown,2p,sav_003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""1"": 0, ""10"": 0, ""11"": 0, ""12"": 0, ""13"": 0, ""14"": 0, ""15"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 0, ""6"": 0, ""7"": 0, ""8"": 0, ""9"": 0}",0,0.0,0.0,0,0,{}
20305,0,1194,1.4073897038842054,7.035533905932738,559,2.0,42.700000000000045,0,coal,2p,sav_004,3.442552,1386,1302,1414,1306,1316,1343,1382,1442,1295,1357,1337,1385,1346,1379,1315,"{""1"": 1386, ""10"": 1302, ""11"": 1414, ""12"": 1306, ""13"": 1316, ""14"": 1343, ""15"": 1382, ""2"": 1442, ""3"": 1295, ""4"": 1357, ""5"": 1337, ""6"": 1385, ""7"": 1346, ""8"": 1379, ""9"": 1315}",15,7.96616596897316,8.0,1,161753,"{""128"": 2898, ""129"": 560, ""32"": 14464, ""33"": 1711, ""34"": 4, ""35"": 668}"
8465,0,517,1.7320508075688772,7.155417527999327,162,3.0,50.400000000000034,0,iron,2p,sav_004,1.435174,573,522,583,556,612,547,561,524,563,570,572,582,581,579,540,"{""1"": 573, ""10"": 522, ""11"": 583, ""12"": 556, ""13"": 612, ""14"": 547, ""15"": 561, ""2"": 524, ""3"": 563, ""4"": 570, ""5"": 572, ""6"": 582, ""7"": 581, ""8"": 579, ""9"": 540}",15,8.013585351447135,8.0,1,67835,"{""128"": 922, ""129"": 165, ""32"": 6387, ""33"": 729, ""34"": 3, ""35"": 259}"
5762,0,246,1.7320508075688776,8.0,229,6.0,70.0,0,gold,2p,sav_004,0.976902,374,395,410,376,367,386,399,400,372,372,399,385,377,389,361,"{""1"": 374, ""10"": 395, ""11"": 410, ""12"": 376, ""13"": 367, ""14"": 386, ""15"": 399, ""2"": 400, ""3"": 372, ""4"": 372, ""5"": 399, ""6"": 385, ""7"": 377, ""8"": 389, ""9"": 361}",15,8.0206525511975,8.0,1,46215,"{""128"": 439, ""129"": 137, ""32"": 4610, ""33"": 388, ""34"": 2, ""35"": 186}"
1819,0,108,1.8117925468262293,8.082903768654761,103,5.0,44.89999999999999,0,gems,2p,sav_004,0.308397,128,109,146,129,107,123,138,119,116,124,129,112,121,107,111,"{""1"": 128, ""10"": 109, ""11"": 146, ""12"": 129, ""13"": 107, ""14"": 123, ""15"": 138, ""2"": 119, ""3"": 116, ""4"": 124, ""5"": 129, ""6"": 112, ""7"": 121, ""8"": 107, ""9"": 111}",15,8.05717427157779,8.0,1,14656,"{""128"": 231, ""129"": 61, ""32"": 1257, ""33"": 199, ""35"": 71}"
2712,0,132,1.7734164135955353,8.689101403391346,98,9.5,50.0,0,sulfur,2p,sav_004,0.459798,176,176,177,171,191,204,198,168,211,176,157,171,188,193,155,"{""1"": 176, ""10"": 176, ""11"": 177, ""12"": 171, ""13"": 191, ""14"": 204, ""15"": 198, ""2"": 168, ""3"": 211, ""4"": 176, ""5"": 157, ""6"": 171, ""7"": 188, ""8"": 193, ""9"": 155}",15,8.105825958702065,8.0,1,21983,"{""128"": 314, ""129"": 90, ""32"": 1925, ""33"": 278, ""35"": 105}"
39063,0,477,1.7320508075688772,7.071067811865475,2913,3.0,152.80000000000024,0,minerals,2p,sav_004,6.622823,2637,2504,2730,2538,2593,2603,2678,2653,2557,2599,2594,2635,2613,2647,2482,"{""1"": 2637, ""10"": 2504, ""11"": 2730, ""12"": 2538, ""13"": 2593, ""14"": 2603, ""15"": 2678, ""2"": 2653, ""3"": 2557, ""4"": 2599, ""5"": 2594, ""6"": 2635, ""7"": 2613, ""8"": 2647, ""9"": 2482}",15,7.9984128203159,8.0,1,312442,"{""128"": 4804, ""129"": 1013, ""32"": 28643, ""33"": 3305, ""34"": 9, ""35"": 1289}"
