group,map_id,player,runtime_all_r10,runtime_all_r100,runtime_all_r25,runtime_all_r50,runtime_neighborhood_cells_r10,runtime_neighborhood_cells_r100,runtime_neighborhood_cells_r25,runtime_neighborhood_cells_r50,runtime_world_density_r10,runtime_world_density_r100,runtime_world_density_r25,runtime_world_density_r50,runtime_world_r10,runtime_world_r100,runtime_world_r25,runtime_world_r50,start_x,start_y,static_all_r10,static_all_r100,static_all_r25,static_all_r50,static_neighborhood_cells_r10,static_neighborhood_cells_r100,static_neighborhood_cells_r25,static_neighborhood_cells_r50,static_world_density_r10,static_world_density_r100,static_world_density_r25,static_world_density_r50,static_world_r10,static_world_r100,static_world_r25,static_world_r50
20p,sav_009,2,7,353,34,113,331,30301,1951,7651,18.126888,11.616778,16.914403,14.638609,6,352,33,112,454,565,6,338,33,105,331,30301,1951,7651,18.126888,11.154747,16.914403,13.723696,6,338,33,105
20p,sav_009,3,6,317,43,106,331,30301,1951,7651,15.10574,10.395697,21.527422,13.723696,5,315,42,105,199,573,3,287,26,84,331,30301,1951,7651,9.063444,9.471635,13.326499,10.978957,3,287,26,84
20p,sav_009,4,2,299,36,91,331,29356,1951,7651,3.021148,10.151247,17.939518,11.763168,1,298,35,90,91,197,1,284,26,76,331,29356,1951,7651,3.021148,9.674343,13.326499,9.933342,1,284,26,76
20p,sav_009,5,2,329,26,102,331,30301,1951,7651,3.021148,10.824725,12.813942,13.200889,1,328,25,101,100,482,1,304,18,87,331,30301,1951,7651,3.021148,10.032672,9.226038,11.371063,1,304,18,87
20p,sav_009,6,2,447,40,140,331,30301,1951,7651,3.021148,14.685984,19.989749,18.16756,1,445,39,139,593,301,1,414,25,118,331,30301,1951,7651,3.021148,13.662915,12.813942,15.422821,1,414,25,118
20p,sav_009,7,6,348,40,127,331,30301,1951,7651,15.10574,11.451767,19.989749,16.468435,5,347,39,126,233,309,4,333,32,112,331,30301,1951,7651,12.084592,10.989736,16.401845,14.638609,4,333,32,112
20p,sav_009,8,9,293,47,103,331,28330,1951,7651,24.169184,10.271797,23.577652,13.331591,8,291,46,102,365,82,5,264,33,89,331,28330,1951,7651,15.10574,9.318743,16.914403,11.632466,5,264,33,89
20p,sav_009,9,6,373,47,112,331,30301,1951,7651,15.10574,12.24382,23.577652,14.507907,5,371,46,111,443,120,2,345,32,97,331,30301,1951,7651,6.042296,11.385763,16.401845,12.678081,2,345,32,97
20p,sav_009,10,7,395,61,134,331,30301,1951,7651,18.126888,13.002871,30.75346,17.383349,6,394,60,133,387,461,6,374,47,120,331,30301,1951,7651,18.126888,12.342827,24.09021,15.684224,6,374,47,120
20p,sav_009,11,1,243,27,81,331,30301,1951,7651,0.0,7.986535,13.326499,10.45615,0,242,26,80,124,106,0,235,19,73,331,30301,1951,7651,0.0,7.75552,9.738596,9.541236,0,235,19,73
20p,sav_009,12,10,311,47,148,331,28681,1951,7651,27.190332,10.808549,23.577652,19.213175,9,310,46,147,404,682,5,291,29,128,331,28681,1951,7651,15.10574,10.14609,14.864172,16.729839,5,291,29,128
20p,sav_009,13,11,333,52,121,331,30301,1951,7651,30.21148,10.923732,26.140441,15.684224,10,331,51,120,363,275,6,304,31,100,331,30301,1951,7651,18.126888,10.032672,15.889288,13.070187,6,304,31,100
20p,sav_009,14,5,327,28,102,331,30301,1951,7651,12.084592,10.758721,13.839057,13.200889,4,326,27,101,247,178,4,319,25,94,331,30301,1951,7651,12.084592,10.527705,12.813942,12.285976,4,319,25,94
20p,sav_009,15,6,475,55,113,331,30301,1951,7651,15.10574,15.610046,27.678114,14.638609,5,473,54,112,622,239,5,432,34,92,331,30301,1951,7651,15.10574,14.256955,17.426961,12.024572,5,432,34,92
20p,sav_009,16,19,351,64,161,331,30301,1951,7651,54.380665,11.550774,32.291133,20.912299,18,350,63,160,135,396,9,336,49,146,331,30301,1951,7651,27.190332,11.088743,25.115325,19.082473,9,336,49,146
20p,sav_009,17,10,231,53,119,331,27350,1951,7651,27.190332,8.409506,26.652998,15.422821,9,230,52,118,600,693,4,209,38,97,331,27350,1951,7651,12.084592,7.641682,19.477191,12.678081,4,209,38,97
20p,sav_009,18,3,281,33,93,331,30301,1951,7651,6.042296,9.240619,16.401845,12.024572,2,280,32,92,282,490,2,266,18,78,331,30301,1951,7651,6.042296,8.778588,9.226038,10.194746,2,266,18,78
20p,sav_009,19,6,363,42,126,331,30301,1951,7651,15.10574,11.9468,21.014864,16.337734,5,362,41,125,644,538,5,348,27,111,331,30301,1951,7651,15.10574,11.484769,13.839057,14.507907,5,348,27,111
20p,sav_009,20,12,383,52,127,331,30301,1951,7651,33.232628,12.573842,26.140441,16.468435,11,381,51,126,422,372,5,361,44,119,331,30301,1951,7651,15.10574,11.913798,22.552537,15.553522,5,361,44,119
20p,sav_010,1,10,259,40,100,331,27476,1951,7651,27.190332,9.390013,19.989749,12.939485,9,258,39,99,75,124,9,258,39,99,331,27476,1951,7651,27.190332,9.390013,19.989749,12.939485,9,258,39,99
20p,sav_010,2,8,429,29,112,331,30301,1951,7651,21.148036,14.091944,14.351615,14.507907,7,427,28,111,145,467,7,410,28,111,331,30301,1951,7651,21.148036,13.530907,14.351615,14.507907,7,410,28,111
