adjacent_water_pct_mean_when_present,bbox_fill_median_when_present,component_size_median_when_present,component_size_p90_when_present,distance_to_edge_median_when_present,distance_to_start_median_when_present,distance_to_water_median_when_present,edge_pct_mean_when_present,elongation_median_when_present,height_median_when_present,id,maps_present,max_cells_all_maps,mean_cells_all_maps,mean_components_when_present,mean_pct_land_all_maps,mean_pct_map_all_maps,median_cells_all_maps,min_cells_all_maps,name,perimeter_sqrt_area_median_when_present,representation,total_cells
0.0,0.5320558340295183,43.25,628.4000000000001,136.0,150.5,33.0,0.0,1.9919124969591555,55.0,64,16,14353,11209.75,57.9375,2.407579,1.900524625,11133.5,8104,Desert core,8.962867150102074,normalized,179356
0.0,0.262987012987013,35.5,150.3,130.0,153.5,29.5,0.0,1.8549080596961578,53.0,65,16,4223,3677.375,62.25,0.7896994375,0.6234698125,3709.0,3225,Desert transition,21.622385324503067,normalized,58838
0.0,1.0,2.0,14.65,153.0,101.5,32.25,0.0,1.9358067428538082,57.25,80,16,175,108.0625,18.3125,0.0232791875,0.0183211875,108.0,23,Swamp core,7.071067811865475,normalized,1729
0.0,0.5645833333333333,7.0,25.60000000000001,130.0,119.75,32.0,0.0,1.9475552182022249,55.5,81,16,569,410.75,38.1875,0.088277625,0.06963943750000001,419.5,234,Swamp transition,8.315218406202998,normalized,6572
6.311367625000001,0.21167200854700854,18.0,31.0,70.5,182.0,9.5,0.0,4.158223034835352,23.0,96,16,10415,7895.5,431.8125,1.6970950625,1.338619625,7768.0,6428,River 1,17.441967269268172,normalized,126328
10.4343885,0.21428571428571427,14.75,25.450000000000003,77.5,166.0,7.0,0.0,4.3957168236719495,15.0,97,16,2105,1505.875,94.9375,0.3237524375,0.2553091875,1455.5,1007,River 2,15.881536380973147,normalized,24094
12.635572875000001,0.25,12.0,19.550000000000004,75.25,154.0,5.75,0.0,4.513228831041223,11.0,98,16,403,255.125,19.75,0.054909625,0.043254375,246.5,133,River 3,14.41848811545388,normalized,4082
16.5507938125,0.2398611111111111,12.75,19.8,88.5,166.25,4.25,0.0,4.8617671626571894,10.0,99,16,115,63.375,4.375,0.013647562500000002,0.010744625,62.0,17,River 4,14.841118155996051,normalized,1014
0.0,0.48903631745612874,70.0,1485.5499999999997,187.0,116.0,72.0,0.0,2.2713916369110416,171.5,128,16,10409,9727.1875,18.9375,2.0887749375,1.6491678749999998,9716.0,8942,Snow core,9.579961934886764,normalized,155635
0.0,0.24314839572192515,35.75,193.40000000000003,186.75,112.5,67.5,0.0,2.2392524120645847,160.0,129,16,2167,1911.3125,24.875,0.4105710625,0.324048,1944.0,1699,Snow transition,23.101175037127497,normalized,30581
0.0,0.5570138888888889,7.0,37.2,168.5,95.75,35.25,0.0,2.338794582874213,58.5,144,16,864,405.9375,24.8125,0.08702968750000001,0.0688234375,342.0,193,Mud transition 1,8.037383539249433,normalized,6495
0.0,0.4338095238095238,14.0,43.50000000000002,158.5,100.0,31.5,0.0,1.8982336924246137,58.5,145,16,1063,648.0,34.3125,0.13898262500000003,0.10986312499999999,599.5,403,Mud transition 2,13.200306451926153,normalized,10368
